cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
4.734,0,,0.0,3,3,20,1,0,9.985,947
7.995,0,,1.0,4,4,16,2,0,11.313,289
0.974,1,,1.0,1,1,18,3,0,2.375,135
0.664,1,,1.0,1,1,19,4,0,1.772,125
0.659,2,,1.0,1,1,17,5,0,1.801,101
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
6.142,0,,1.0,4,4,19,1,0,19.04,947
5.553,0,,1.0,4,4,20,2,0,9.901,693
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
2.58,0,,1.0,4,4,20,1,0,2.064,947
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
2.32,0,,1.0,4,4,20,1,0,1.692,947
1.614,0,,1.0,2,1,19,2,1,8.37,693
1.339,1,,1.0,1,1,16,3,0,0.331,537
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
10.986,0,,1.0,4,3,16,1,1,8.602,947
5.538,0,,1.0,4,4,19,2,0,1.784,693
5.06,1,,1.0,4,3,20,3,2,7.271,537
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
5.385,0,,1.0,4,4,20,1,0,2.77,947
6.813,0,,1.0,4,4,19,2,0,1.478,693
4.039,1,,1.0,4,3,15,0,1,11.452,698
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
4.713,0,,1.0,4,4,16,1,0,1.926,947
2.617,0,,1.0,4,4,19,2,0,3.557,693
9.214,1,,1.0,4,4,20,3,0,18.662,537
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
6.619,0,,1.0,4,4,16,1,0,6.14,947
5.493,0,,1.0,4,4,7,2,0,9.236,693
2.866,1,,1.0,4,4,19,3,0,6.981,537
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
5.512,0,,1.0,4,4,16,1,0,1.444,947
1.649,0,,1.0,4,4,7,2,0,2.291,693
2.846,1,,1.0,4,4,19,3,0,3.048,537
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
0.522,0,,1.0,1,1,16,2,0,2.072,693
0.0,0,,0.0,1,0,16,2,0,0.0,693
0.209,1,,1.0,1,1,7,3,0,1.171,537
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
0.36,0,,0.0,1,1,16,2,0,1.719,693
0.0,0,,0.0,1,0,20,3,0,0.0,537
0.0,1,,0.0,1,0,20,3,0,0.0,537
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
4.288,0,,1.0,4,4,7,1,0,3.256,947
1.834,0,,0.0,2,2,20,0,0,1.581,391
0.0,1,,0.0,1,0,20,4,0,0.0,391
0.0,1,,0.0,1,0,20,4,0,0.0,391
1.234,2,,0.0,3,3,9,5,0,0.27,373
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
0.204,0,,0.0,1,1,16,2,0,1.924,693
0.0,0,,0.0,1,0,19,3,0,0.0,537
0.0,1,,0.0,1,0,20,4,0,0.0,373
0.202,1,,1.0,2,1,20,5,0,0.015,373
0.0,2,,0.0,1,0,20,5,0,0.0,373
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
2.287,0,,0.0,4,4,7,1,0,2.644,947
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
1.881,0,,0.0,4,4,7,1,0,0.518,947
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
