game_state,user_action,agent_assistance,attempt,react_time,user_react_time,from,elapsed_time,to,agent_feedback,timeout,token_id
0,2,0,1,15,0,,0,,0,0,
0,1,0,2,0.019,2,1,0.0,19,0,1,1279
0,0,3,3,8.486,1,15,2.706,1,0,1,668
0,1,0,1,14.078,0,2,1.642,17,0,0,1268
0,2,0,2,15,0,,0,,0,0,
0,0,3,3,10.232,0,19,0.993,2,0,1,1279
1,2,0,1,15,0,,0,,0,0,
1,1,2,2,0.01,2,3,0.0,20,0,1,1473
1,0,3,3,13.207,0,17,0.563,3,0,1,1268
1,1,0,1,7.37,1,4,1.031,20,0,0,1473
1,1,2,2,8.039,1,4,2.568,18,0,0,1165
1,1,2,3,0.011,2,4,0.001,20,0,0,1473
1,0,3,4,0.026,2,16,1.129,4,0,0,619
2,2,0,1,15,0,,0,,0,0,
2,0,2,2,1.244,2,20,0.867,5,0,1,1473
