game_state,user_action,agent_assistance,attempt,react_time,user_react_time,from,elapsed_time,to,agent_feedback,timeout,token_id
0,0,0,1,0.098,2,7,0.508,1,1,0,947
0,1,0,1,1.929,2,4,0.841,19,1,0,693
0,2,1,2,15,0,,0,,1,0,
0,1,1,3,0.0,,2,0.0,17,1,1,537
0,1,0,4,9.774,1,19,0.333,2,2,1,693
1,1,0,1,13.079,0,10,1.105,10,1,0,391
1,0,0,2,1.782,2,17,0.721,3,2,0,537
1,1,1,1,7.447,1,5,0.315,10,1,0,391
1,1,0,2,7.17,1,5,0.92,20,2,0,373
1,1,1,3,4.048,2,5,0.323,10,3,0,391
1,2,0,4,15,0,,0,,3,0,
2,0,0,1,2.211,2,20,0.564,5,1,0,373
