cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
0.0,0,,0.0,2,0,7,1,1,0.021,698
1.062,0,,0.0,1,0,14,2,0,2.271,894
1.006,1,,1.0,1,0,20,3,0,5.919,947
1.333,1,,0.0,1,0,18,4,0,6.564,289
0.773,2,,0.0,1,0,11,5,0,7.831,693
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
1.025,0,,0.0,2,0,15,1,1,2.397,587
1.096,0,,0.0,2,0,6,2,0,12.656,667
0.895,1,,1.0,1,0,16,3,0,7.143,593
0.885,1,,1.0,1,0,18,4,0,3.658,619
1.029,2,,0.0,1,0,17,5,0,8.117,753
